smiles,atom_y,split,radical_type
[CH2]c1cn[nH]c1Br,"[0.7320599075867616, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]n[nH]c1Br,"['nan', 'nan', 1.0102250341680996, 'nan', 'nan', 'nan', 'nan']",train,carbon
On1nnc2c[c]cnc21,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.0870011870279839, 'nan', 'nan', 'nan']",train,carbon
On1nnc2cc[c]nc21,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.9348595389140268, 'nan', 'nan']",train,carbon
On1nnc2[c]ccnc21,"['nan', 'nan', 'nan', 'nan', 'nan', 1.135173764156368, 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1conc1C(=O)O,"[0.8725498439210829, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH]=Cc1csc(C(=O)O)c1,"[0.91150438350955, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1cc(O)cnc1Cl,"[0.9790016054616256, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1c[c]cc(CS)c1,"['nan', 'nan', 'nan', 0.9706686335216151, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Oc1c[c]cc2nsnc12,"['nan', 'nan', 'nan', 0.9954496384394663, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1cc(O)[c]nc1Cl,"['nan', 'nan', 'nan', 'nan', 'nan', 0.9753873279143812, 'nan', 'nan', 'nan']",train,carbon
C=[C]c1csc(C(=O)O)c1,"['nan', 0.8530079181324219, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Oc1cc[c]c2nsnc12,"['nan', 'nan', 'nan', 'nan', 1.0398723232394145, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1cc[c]c(CS)c1,"['nan', 'nan', 'nan', 'nan', 0.9778832177778755, 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]c(O)cnc1Cl,"['nan', 'nan', 1.1060038931570948, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1[c]c(CS)ccc1,"['nan', 'nan', 1.1053204315425593, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=Cc1[c]c(C(=O)O)sc1,"['nan', 'nan', 'nan', 1.1303745424089633, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]onc1C(=O)O,"['nan', 'nan', 1.2776916847093052, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
O=S(=O)(Cl)c1[c]n[nH]c1F,"['nan', 'nan', 'nan', 'nan', 'nan', 1.2589879976358185, 'nan', 'nan', 'nan', 'nan']",train,carbon
Fc1cccc([CH]S)c1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.8718645129181721, 'nan', 'nan']",train,carbon
Fc1[c]ccc(CS)c1,"['nan', 'nan', 1.0771194687283376, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=Cc1[c]sc(C(=O)O)c1,"['nan', 'nan', 'nan', 1.2456062238998795, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Nc1noc2c[c]cnc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.0794134229331163, 'nan', 'nan', 'nan']",train,carbon
[CH2]C(=O)c1cnc(N)o1,"[1.1247432758875837, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]Nc1ncc(C=O)s1,"[0.7931036749704352, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Nc1noc2cc[c]nc12,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.8885617214509098, 'nan', 'nan']",train,carbon
Oc1[c]ccc2nsnc12,"['nan', 'nan', 1.0561372978992976, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1c(Br)csc1C(=O)Cl,"[1.1667657782976286, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N#Cc1[c]nc(N)nc1,"['nan', 'nan', 'nan', 1.006313398760224, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
CNc1n[c]c(C=O)s1,"['nan', 'nan', 'nan', 'nan', 1.0352454083960747, 'nan', 'nan', 'nan', 'nan']",train,carbon
Nc1noc2[c]ccnc12,"['nan', 'nan', 'nan', 'nan', 'nan', 1.1438657990186818, 'nan', 'nan', 'nan', 'nan']",train,carbon
CNc1ncc([C]=O)s1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.6359293094617777, 'nan', 'nan']",train,carbon
CC(=O)c1[c]nc(N)o1,"['nan', 'nan', 'nan', 'nan', 1.083129920666782, 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1cccnc1CO,"[0.9551794959537867, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N#Cc1[c]nc(N)nc1,"['nan', 'nan', 'nan', 1.0062988744974732, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1nc(C=O)ccc1O,"[0.9685986591906163, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1cc[c]nc1CO,"['nan', 'nan', 'nan', 'nan', 0.8380354086994682, 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1ccc(N)cc1C,"[0.655000387301004, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1nc(C=O)c[c]c1O,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.1777810228351078, 'nan', 'nan']",train,carbon
Cc1c[c]cnc1CO,"['nan', 'nan', 'nan', 1.0133131033229468, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]c(N)ccc1C,"['nan', 'nan', 0.8850884520233746, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]ccnc1CO,"['nan', 'nan', 1.010334915983718, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1nc(C=O)[c]cc1O,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 1.0525649228361456, 'nan', 'nan', 'nan']",train,carbon
Cc1nc([C]=O)ccc1O,"['nan', 'nan', 'nan', 'nan', 0.6573494252484747, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1cccnc1[CH]O,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.7509674859939699, 'nan']",train,carbon
Cc1c[c]c(N)cc1C,"['nan', 'nan', 'nan', 0.8777499889029311, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]c1cc(N)ccc1C,"[0.78905207920897, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1c(Br)[c]sc1C(=O)Cl,"['nan', 'nan', 'nan', 'nan', 1.3826788780391375, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH2]C(=C)Cc1ccccc1,"[0.7735517896405237, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Cc1[c]cc(N)cc1C,"['nan', 'nan', 0.8234260041579149, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
[CH]=C(C)Cc1ccccc1,"[0.7798728102209848, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
Br[CH]c1cnoc1,"['nan', 0.8898235847611432, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
N[C](CS)C(=O)O,"['nan', 0.7585967552797342, 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C(C)Cc1c[c]ccc1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.8752121416125641, 'nan', 'nan', 'nan']",train,carbon
C=C(C)Cc1[c]cccc1,"['nan', 'nan', 'nan', 'nan', 'nan', 0.8930214290383766, 'nan', 'nan', 'nan', 'nan']",train,carbon
C=C(C)Cc1c[c]ccc1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.8646587860937311, 'nan', 'nan', 'nan']",train,carbon
C=C(C)Cc1cc[c]cc1,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 0.8755958877998323, 'nan', 'nan']",train,carbon
C=C(C)[CH]c1ccccc1,"['nan', 'nan', 'nan', 0.8168212921627774, 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",train,carbon
